field.latitude,field.longitude
37.5447854,127.0790007
37.544785,127.0790011
37.5447847,127.0790014
37.5447843,127.0790018
37.5447837,127.0790024
37.5447831,127.079003
37.5447824,127.0790036
37.5447818,127.0790042
37.5447801,127.0790052
37.5447791,127.079006
37.5447772,127.0790083
37.5447761,127.0790092
37.5447752,127.0790099
37.5447744,127.0790106
37.5447724,127.0790119
37.5447715,127.0790124
37.5447696,127.0790136
37.5447686,127.0790143
37.5447665,127.0790158
37.5447655,127.0790163
37.5447644,127.0790169
37.5447634,127.0790175
37.5447624,127.0790182
37.5447614,127.0790189
37.5447604,127.0790196
37.5447593,127.0790204
37.5447582,127.0790211
37.5447573,127.0790216
37.5447563,127.0790223
37.5447552,127.0790229
37.5447533,127.0790245
37.5447522,127.0790252
37.5447512,127.079026
37.5447502,127.0790268
37.5447491,127.0790275
37.5447481,127.0790281
37.544747,127.0790288
37.544746,127.0790295
37.544745,127.0790303
37.5447441,127.0790311
37.5447429,127.0790319
37.5447417,127.0790329
37.5447407,127.0790338
37.5447396,127.0790346
37.5447385,127.0790354
37.5447352,127.0790378
37.5447341,127.0790387
37.544733,127.0790397
37.5447319,127.0790406
37.5447308,127.0790415
37.5447296,127.0790423
37.5447284,127.0790433
37.5447273,127.0790441
37.5447254,127.079046
37.544723,127.079048
37.5447219,127.079049
37.5447209,127.07905
37.5447198,127.079051
37.5447186,127.079052
37.5447176,127.0790531
37.5447165,127.0790542
37.5447152,127.0790554
37.544714,127.0790566
37.5447128,127.0790576
37.5447103,127.0790597
37.5447091,127.0790607
37.544708,127.0790618
37.5447069,127.079063
37.5447042,127.0790653
37.544703,127.0790662
37.5447005,127.0790683
37.5446994,127.0790693
37.5446983,127.0790703
37.5446971,127.0790714
37.5446959,127.0790726
37.5446946,127.0790737
37.5446935,127.0790748
37.5446924,127.0790758
37.5446898,127.0790776
37.5446888,127.0790786
37.5446875,127.0790795
37.5446849,127.0790816
37.5446837,127.0790824
37.5446826,127.0790833
37.5446813,127.0790843
37.5446802,127.0790853
37.5446791,127.0790865
37.544678,127.0790877
37.5446768,127.0790889
37.5446756,127.0790898
37.5446732,127.0790916
37.5446707,127.0790935
37.5446695,127.0790944
37.5446683,127.0790955
37.544667,127.0790966
37.5446657,127.0790976
37.5446645,127.0790984
37.5446632,127.0790993
37.5446619,127.0791003
37.5446608,127.0791013
37.5446596,127.0791023
37.5446583,127.0791033
37.544657,127.0791043
37.5446557,127.0791051
37.5446532,127.0791067
37.544652,127.0791076
37.5446498,127.0791095
37.5446485,127.0791106
37.5446473,127.0791115
37.5446461,127.0791124
37.5446449,127.0791132
37.5446436,127.079114
37.5446423,127.0791148
37.5446411,127.0791157
37.5446399,127.0791166
37.5446385,127.0791177
37.5446372,127.0791188
37.5446359,127.0791196
37.5446333,127.079121
37.544632,127.0791219
37.5446307,127.0791227
37.5446295,127.0791235
37.5446282,127.0791244
37.5446269,127.0791252
37.5446257,127.0791259
37.5446244,127.0791266
37.5446231,127.0791272
37.5446208,127.0791289
37.5446183,127.0791307
37.5446169,127.0791316
37.5446156,127.0791324
37.544613,127.0791341
37.5446118,127.079135
37.5446092,127.0791368
37.5446079,127.0791376
37.5446053,127.0791389
37.5446039,127.0791396
37.5446014,127.0791413
37.5446002,127.0791422
37.5445988,127.0791432
37.5445974,127.079144
37.5445947,127.0791457
37.5445933,127.0791466
37.5445921,127.0791474
37.5445909,127.0791482
37.5445897,127.0791491
37.5445883,127.0791501
37.5445857,127.0791516
37.5445843,127.0791523
37.544583,127.0791532
37.5445817,127.0791539
37.5445804,127.0791546
37.544579,127.0791554
37.5445776,127.0791561
37.5445763,127.0791567
37.5445735,127.0791579
37.5445722,127.0791585
37.544571,127.0791593
37.5445697,127.07916
37.5445682,127.0791608
37.5445668,127.0791614
37.5445655,127.0791618
37.5445641,127.0791623
37.5445627,127.0791629
37.5445601,127.0791641
37.5445588,127.0791648
37.544556,127.079166
37.5445547,127.0791665
37.5445533,127.079167
37.5445518,127.0791676
37.5445505,127.0791682
37.5445492,127.0791687
37.5445477,127.0791695
37.5445447,127.0791706
37.5445433,127.0791712
37.5445418,127.0791717
37.544539,127.0791729
37.5445377,127.0791736
37.5445347,127.0791748
37.5445333,127.0791754
37.5445319,127.0791757
37.5445303,127.0791761
37.5445289,127.0791766
37.5445275,127.0791772
37.544526,127.0791776
37.5445245,127.0791782
37.5445229,127.0791788
37.5445202,127.0791798
37.5445172,127.0791808
37.5445158,127.0791813
37.5445143,127.0791818
37.5445127,127.0791824
37.5445113,127.0791828
37.5445098,127.0791832
37.5445083,127.0791837
37.5445068,127.0791844
37.5445055,127.079185
37.544504,127.0791856
37.5445024,127.0791861
37.544501,127.0791866
37.5444996,127.0791869
37.5444982,127.0791872
37.5444966,127.0791876
37.5444953,127.079188
37.5444939,127.0791884
37.5444909,127.0791894
37.5444895,127.0791897
37.544488,127.0791897
37.5444865,127.0791897
37.5444852,127.0791901
37.5444839,127.0791905
37.5444826,127.0791909
37.5444811,127.0791913
37.5444797,127.0791916
37.5444771,127.0791922
37.5444756,127.0791925
37.5444742,127.0791928
37.544473,127.0791932
37.5444716,127.0791935
37.54447,127.0791939
37.5444685,127.0791942
37.5444671,127.0791945
37.5444657,127.0791947
37.5444643,127.0791949
37.5444629,127.0791952
37.5444599,127.0791962
37.5444584,127.0791965
37.544457,127.0791967
37.5444556,127.0791969
37.5444541,127.079197
37.5444526,127.0791972
37.5444511,127.0791975
37.5444496,127.0791978
37.5444481,127.079198
37.5444436,127.0791983
37.544442,127.0791985
37.5444405,127.0791988
37.544439,127.0791991
37.5444375,127.0791993
37.5444359,127.0791995
37.5444345,127.0791997
37.5444329,127.0791997
37.5444314,127.0791996
37.5444299,127.0791997
37.5444285,127.0791999
37.544427,127.0792001
37.5444254,127.0792004
37.5444238,127.0792007
37.5444223,127.0792009
37.5444209,127.0792009
37.5444194,127.079201
37.5444163,127.0792013
37.5444133,127.0792015
37.5444118,127.0792016
37.5444103,127.0792017
37.5444088,127.0792017
37.5444043,127.079202
37.5444028,127.079202
37.5444011,127.0792022
37.5443996,127.0792022
37.5443982,127.0792022
37.5443967,127.0792021
37.5443936,127.0792021
37.5443922,127.0792022
37.5443907,127.0792023
37.5443891,127.0792024
37.5443875,127.0792024
37.544386,127.0792023
37.5443846,127.0792022
37.544383,127.0792021
37.5443814,127.0792023
37.54438,127.0792025
37.5443785,127.0792026
37.5443769,127.0792026
37.5443754,127.0792025
37.5443739,127.0792024
37.5443722,127.0792023
37.5443707,127.0792021
37.5443679,127.0792019
37.5443662,127.0792017
37.5443646,127.0792015
37.5443633,127.0792011
37.5443618,127.0792008
37.5443601,127.0792006
37.5443572,127.0792006
37.5443557,127.0792004
37.5443541,127.0792002
37.5443526,127.0791998
37.5443496,127.079199
37.544348,127.0791988
37.5443465,127.0791987
37.5443451,127.0791986
37.544342,127.0791982
37.5443391,127.0791977
37.5443374,127.0791975
37.544333,127.0791973
37.5443313,127.0791972
37.5443298,127.0791969
37.5443284,127.0791966
37.5443269,127.0791963
37.5443252,127.079196
37.5443237,127.0791959
37.5443223,127.0791958
37.5443208,127.0791955
37.5443192,127.0791952
37.5443177,127.0791948
37.5443163,127.0791944
37.5443148,127.0791941
37.5443104,127.0791933
37.5443058,127.0791921
37.5443026,127.0791913
37.5443011,127.079191
37.5442997,127.0791907
37.5442981,127.0791904
37.5442965,127.0791899
37.5442951,127.0791894
37.5442936,127.0791889
37.5442906,127.0791882
37.5442891,127.0791879
37.5442876,127.0791876
37.544286,127.0791871
37.5442819,127.0791856
37.5442804,127.0791852
37.544279,127.079185
37.5442775,127.0791848
37.5442759,127.0791843
37.5442743,127.0791839
37.5442727,127.0791834
37.5442713,127.079183
37.5442697,127.0791826
37.5442682,127.0791822
37.5442667,127.0791818
37.5442652,127.0791814
37.5442636,127.0791808
37.5442621,127.0791802
37.5442607,127.0791795
37.5442592,127.0791787
37.5442576,127.0791782
37.5442562,127.0791777
37.5442547,127.0791772
37.5442531,127.0791766
37.5442517,127.0791759
37.5442504,127.0791752
37.5442489,127.0791745
37.5442473,127.0791737
37.5442459,127.0791731
37.5442445,127.0791726
37.544243,127.0791719
37.5442414,127.0791712
37.5442399,127.0791707
37.5442354,127.0791687
37.544234,127.079168
37.5442325,127.0791674
37.5442309,127.0791668
37.5442292,127.0791662
37.5442279,127.0791655
37.5442265,127.0791647
37.5442234,127.0791631
37.5442206,127.0791617
37.544219,127.0791609
37.5442175,127.0791602
37.5442162,127.0791596
37.5442118,127.0791576
37.5442104,127.079157
37.5442088,127.0791564
37.5442072,127.0791557
37.5442058,127.0791549
37.5442045,127.0791542
37.544203,127.0791534
37.5442016,127.0791525
37.5442002,127.0791518
37.5441988,127.079151
37.5441973,127.0791502
37.544196,127.0791494
37.5441946,127.0791483
37.5441932,127.0791474
37.5441917,127.0791463
37.5441903,127.0791456
37.544189,127.0791448
37.5441876,127.079144
37.5441846,127.0791425
37.5441819,127.0791409
37.5441804,127.07914
37.544179,127.0791392
37.5441775,127.0791386
37.5441759,127.0791378
37.5441745,127.079137
37.5441732,127.0791361
37.5441717,127.0791351
37.5441703,127.0791343
37.544169,127.0791336
37.5441677,127.079133
37.5441663,127.0791323
37.5441648,127.0791316
37.5441634,127.0791306
37.5441622,127.0791296
37.5441608,127.0791288
37.5441594,127.079128
37.5441569,127.0791264
37.5441555,127.0791256
37.5441541,127.0791246
37.5441529,127.0791234
37.5441516,127.0791221
37.5441502,127.0791211
37.5441488,127.0791205
37.5441474,127.0791196
37.5441447,127.0791178
37.5441434,127.0791168
37.5441422,127.0791159
37.5441409,127.079115
37.5441395,127.079114
37.5441381,127.079113
37.5441367,127.0791122
37.544134,127.07911
37.5441328,127.0791089
37.5441316,127.0791079
37.5441303,127.0791069
37.544129,127.0791061
37.5441276,127.0791053
37.5441261,127.0791044
37.5441246,127.0791034
37.5441233,127.0791023
37.5441221,127.0791012
37.5441208,127.0791
37.5441195,127.0790989
37.5441182,127.0790979
37.5441169,127.0790969
37.5441141,127.0790948
37.5441129,127.0790936
37.5441117,127.0790923
37.5441103,127.0790912
37.544109,127.0790903
37.5441077,127.0790895
37.5441064,127.0790885
37.5441037,127.079086
37.5441027,127.0790846
37.5441015,127.0790834
37.5441003,127.0790821
37.544099,127.0790812
37.5440977,127.0790802
37.5440963,127.0790791
37.5440951,127.0790779
37.544094,127.0790767
37.544093,127.0790753
37.5440918,127.079074
37.5440906,127.079073
37.5440894,127.079072
37.5440881,127.079071
37.5440869,127.0790698
37.5440857,127.0790684
37.5440846,127.0790672
37.5440836,127.0790661
37.5440823,127.0790648
37.5440812,127.0790638
37.5440787,127.0790615
37.5440774,127.0790601
37.5440765,127.0790586
37.5440756,127.0790573
37.5440746,127.0790563
37.5440734,127.0790551
37.5440723,127.0790541
37.5440712,127.0790528
37.5440701,127.0790514
37.5440691,127.07905
37.5440681,127.0790487
37.5440671,127.0790475
37.5440658,127.0790462
37.5440645,127.0790449
37.5440634,127.0790439
37.5440624,127.0790428
37.5440612,127.0790414
37.54406,127.0790402
37.544059,127.0790388
37.5440579,127.0790374
37.5440568,127.0790361
37.5440557,127.079035
37.5440546,127.0790339
37.5440535,127.0790326
37.5440524,127.0790312
37.5440513,127.0790299
37.5440478,127.0790257
37.5440431,127.0790204
37.5440421,127.079019
37.5440409,127.0790176
37.5440396,127.0790161
37.5440384,127.0790146
37.5440373,127.0790131
37.5440361,127.0790115
37.544035,127.0790097
37.5440341,127.0790081
37.544033,127.0790066
37.5440306,127.0790035
37.5440295,127.0790022
37.5440283,127.0790008
37.5440271,127.0789994
37.5440261,127.078998
37.5440252,127.0789964
37.5440243,127.0789948
37.5440233,127.0789933
37.5440223,127.0789921
37.5440212,127.0789907
37.5440201,127.0789892
37.5440191,127.0789878
37.5440182,127.0789863
37.5440173,127.0789847
37.5440165,127.0789833
37.5440154,127.078982
37.5440143,127.0789809
37.5440133,127.0789796
37.5440124,127.0789781
37.5440115,127.0789768
37.5440096,127.0789739
37.5440085,127.0789726
37.5440072,127.0789711
37.5440061,127.0789697
37.544005,127.0789685
37.5440039,127.078967
37.5440028,127.0789656
37.5440018,127.078964
37.544001,127.0789627
37.5439986,127.0789599
37.5439964,127.0789564
37.5439954,127.0789547
37.5439935,127.0789513
37.5439916,127.078948
37.5439907,127.0789464
37.5439898,127.0789449
37.5439888,127.0789432
37.5439878,127.0789415
37.543987,127.0789397
37.5439862,127.0789381
37.5439852,127.0789364
37.5439843,127.0789349
37.5439834,127.0789333
37.5439799,127.0789265
37.5439792,127.0789248
37.5439767,127.0789203
37.5439758,127.0789185
37.5439749,127.0789169
37.5439741,127.0789152
37.5439728,127.078912
37.543972,127.0789105
37.5439712,127.0789091
37.5439702,127.0789074
37.5439693,127.0789056
37.5439686,127.0789037
37.5439679,127.078902
37.5439673,127.0789003
37.543966,127.0788973
37.5439652,127.0788959
37.5439635,127.0788925
37.5439629,127.0788907
37.5439619,127.0788869
37.5439612,127.0788853
37.5439606,127.0788837
37.5439598,127.078882
37.5439591,127.0788801
37.5439579,127.0788766
37.543957,127.078873
37.5439558,127.0788697
37.5439551,127.078868
37.5439544,127.0788662
37.5439539,127.0788644
37.5439534,127.0788627
37.5439529,127.0788612
37.5439518,127.0788576
37.5439511,127.078856
37.5439504,127.0788544
37.5439497,127.0788523
37.5439491,127.0788503
37.5439487,127.0788483
37.5439483,127.0788465
37.5439478,127.0788445
37.5439473,127.0788428
37.5439467,127.0788412
37.5439461,127.0788391
37.5439454,127.0788352
37.5439451,127.0788334
37.5439448,127.0788314
37.5439444,127.0788296
37.543944,127.0788279
37.5439432,127.078824
37.5439425,127.0788199
37.5439423,127.078818
37.543942,127.0788162
37.5439416,127.0788142
37.5439411,127.0788126
37.5439406,127.0788108
37.5439402,127.0788088
37.5439399,127.0788069
37.5439397,127.0788049
37.5439395,127.078803
37.5439394,127.0788012
37.5439391,127.0787995
37.5439386,127.0787978
37.5439381,127.0787959
37.5439378,127.0787939
37.5439376,127.0787922
37.5439369,127.0787866
37.5439366,127.078785
37.5439362,127.0787833
37.543936,127.0787813
37.5439357,127.0787795
37.5439354,127.0787778
37.5439351,127.0787761
37.5439348,127.0787744
37.5439345,127.0787727
37.5439341,127.078771
37.5439336,127.0787693
37.5439332,127.0787675
37.5439327,127.0787656
37.5439324,127.0787639
37.5439321,127.0787622
37.5439317,127.0787604
37.5439312,127.0787586
37.5439308,127.0787571
37.5439303,127.0787553
37.5439299,127.0787533
37.5439296,127.0787515
37.5439294,127.0787497
37.543929,127.0787478
37.5439286,127.078746
37.5439282,127.0787444
37.5439278,127.0787426
37.5439273,127.0787406
37.5439269,127.0787386
37.5439268,127.0787367
37.5439267,127.0787349
37.5439266,127.078733
37.5439264,127.0787313
37.5439261,127.0787295
37.5439258,127.0787277
37.5439251,127.0787217
37.5439247,127.0787196
37.5439245,127.0787177
37.543924,127.078716
37.5439237,127.0787142
37.5439232,127.0787121
37.5439228,127.0787101
37.5439226,127.0787083
37.5439225,127.0787064
37.5439222,127.0787045
37.5439218,127.0787011
37.5439214,127.0786992
37.5439209,127.0786971
37.5439207,127.0786951
37.5439205,127.0786931
37.5439203,127.0786912
37.5439202,127.0786892
37.54392,127.0786874
37.5439196,127.0786856
37.5439178,127.0786775
37.5439177,127.0786757
37.5439177,127.0786739
37.5439175,127.0786721
37.5439172,127.0786702
37.5439169,127.0786682
37.5439166,127.0786663
37.5439164,127.0786643
37.5439164,127.0786625
37.5439163,127.0786606
37.5439158,127.078657
37.5439154,127.0786552
37.5439151,127.0786533
37.5439148,127.0786512
37.5439145,127.0786493
37.5439143,127.0786474
37.5439141,127.0786455
37.5439137,127.0786435
37.5439133,127.0786417
37.5439131,127.0786399
37.5439129,127.078638
37.5439126,127.078636
37.5439124,127.0786342
37.5439123,127.0786323
37.5439122,127.0786304
37.5439119,127.0786285
37.5439116,127.0786268
37.5439113,127.0786249
37.5439109,127.0786229
37.5439108,127.0786211
37.5439105,127.0786193
37.5439103,127.0786174
37.5439102,127.0786155
37.54391,127.0786137
37.5439097,127.0786118
37.5439094,127.0786097
37.5439092,127.0786076
37.5439091,127.0786057
37.5439091,127.0786038
37.543909,127.0786017
37.5439089,127.0786
37.5439087,127.0785984
37.5439086,127.0785963
37.5439081,127.0785925
37.5439079,127.0785908
37.5439076,127.0785888
37.5439067,127.0785852
37.5439063,127.0785833
37.5439058,127.0785792
37.5439055,127.0785755
37.5439053,127.0785737
37.543905,127.0785719
37.5439044,127.0785679
37.5439042,127.078566
37.5439043,127.0785641
37.5439042,127.0785623
37.5439039,127.0785604
37.5439036,127.0785587
37.5439033,127.0785572
37.5439029,127.0785552
37.5439019,127.0785495
37.5439017,127.0785476
37.5439014,127.0785458
37.543901,127.0785443
37.5439008,127.0785425
37.5439006,127.0785407
37.5439004,127.0785386
37.5439002,127.0785367
37.5439001,127.078535
37.5438994,127.0785314
37.5438992,127.0785298
37.543899,127.078528
37.5438988,127.0785261
37.5438985,127.0785239
37.5438981,127.0785219
37.5438979,127.07852
37.5438978,127.0785182
37.5438976,127.0785166
37.5438971,127.0785149
37.5438971,127.0785129
37.543897,127.078511
37.5438966,127.0785088
37.5438962,127.0785048
37.5438953,127.0784991
37.5438949,127.0784971
37.5438945,127.0784952
37.5438942,127.0784933
37.5438941,127.0784913
37.5438938,127.0784894
37.5438934,127.0784876
37.5438933,127.0784838
37.5438931,127.0784819
37.543893,127.0784801
37.5438929,127.0784781
37.5438928,127.0784761
37.5438925,127.0784743
37.5438923,127.0784727
37.5438921,127.0784709
37.5438918,127.0784687
37.5438914,127.0784669
37.5438913,127.0784651
37.5438907,127.0784614
37.5438905,127.0784598
37.5438903,127.0784581
37.5438901,127.0784563
37.54389,127.0784546
37.54389,127.0784528
37.5438898,127.0784511
37.5438894,127.078449
37.5438891,127.0784473
37.5438887,127.0784454
37.5438881,127.0784433
37.5438878,127.0784413
37.5438877,127.0784396
37.5438876,127.0784378
37.5438876,127.078436
37.543887,127.0784321
37.5438868,127.0784303
37.5438867,127.0784285
37.5438863,127.0784264
37.5438862,127.0784245
37.5438862,127.078423
37.543886,127.0784212
37.5438857,127.0784192
37.5438853,127.0784175
37.543885,127.0784155
37.5438849,127.0784137
37.5438847,127.0784116
37.5438843,127.0784096
37.5438842,127.0784078
37.543884,127.078406
37.5438838,127.078404
37.5438838,127.078402
37.5438838,127.0783998
37.5438838,127.078398
37.5438835,127.078396
37.5438833,127.078394
37.5438836,127.0783903
37.5438832,127.0783884
37.5438829,127.0783865
37.5438826,127.0783847
37.5438824,127.0783828
37.5438822,127.078381
37.5438819,127.0783792
37.5438816,127.0783772
37.5438814,127.0783755
37.5438812,127.0783736
37.5438807,127.0783716
37.5438803,127.0783698
37.5438801,127.0783681
37.5438799,127.0783663
37.5438798,127.0783645
37.5438796,127.078363
37.5438794,127.0783612
37.5438789,127.0783591
37.5438786,127.0783557
37.5438784,127.0783539
37.5438782,127.0783521
37.5438781,127.0783503
37.5438774,127.0783448
37.5438768,127.0783412
37.5438767,127.0783396
37.5438767,127.078338
37.5438765,127.0783366
37.5438761,127.078335
37.5438759,127.0783331
37.5438756,127.0783312
37.5438756,127.0783292
37.5438757,127.0783274
37.5438755,127.0783257
37.5438754,127.0783239
37.5438753,127.0783223
37.5438752,127.0783205
37.5438752,127.0783186
37.543875,127.0783167
37.543875,127.0783147
37.5438748,127.0783128
37.5438746,127.0783111
37.5438743,127.0783094
37.5438741,127.0783077
37.5438738,127.0783058
37.5438737,127.0783018
37.5438735,127.0782998
37.5438733,127.0782979
37.5438729,127.078294
37.5438724,127.07829
37.5438721,127.0782879
37.5438719,127.078286
37.5438717,127.0782842
37.5438715,127.0782823
37.5438714,127.0782805
37.5438711,127.0782787
37.5438708,127.0782768
37.5438709,127.0782749
37.5438708,127.0782732
37.5438704,127.0782712
37.5438702,127.0782693
37.5438701,127.0782676
37.5438698,127.0782658
37.5438696,127.0782637
37.5438694,127.0782618
37.5438691,127.0782598
37.5438687,127.0782579
37.5438681,127.0782537
37.5438678,127.0782518
37.5438674,127.0782499
37.543867,127.0782458
37.5438668,127.0782437
37.5438665,127.0782417
37.5438662,127.0782396
37.543866,127.0782377
37.5438655,127.0782336
37.5438654,127.0782317
37.5438652,127.0782298
37.543865,127.0782278
37.5438648,127.078226
37.5438646,127.0782243
37.5438643,127.0782222
37.5438642,127.0782201
37.543864,127.0782182
37.5438637,127.0782163
37.5438635,127.0782145
37.5438634,127.0782127
37.5438633,127.0782109
37.5438631,127.0782089
37.5438629,127.0782067
37.5438625,127.078201
37.5438624,127.078199
37.5438621,127.0781972
37.5438618,127.0781954
37.5438617,127.0781896
37.5438615,127.0781878
37.5438613,127.0781858
37.543861,127.0781838
37.5438608,127.0781819
37.5438605,127.0781801
37.5438602,127.0781781
37.5438599,127.0781762
37.5438593,127.0781724
37.5438589,127.0781706
37.5438585,127.0781687
37.5438581,127.0781668
37.5438578,127.0781649
37.5438576,127.0781629
37.5438573,127.0781613
37.5438569,127.0781594
37.5438565,127.0781574
37.5438561,127.0781556
37.5438556,127.0781536
37.5438552,127.0781518
37.5438548,127.0781499
37.5438543,127.0781478
37.5438539,127.0781458
37.5438528,127.0781421
37.5438524,127.0781403
37.5438519,127.0781384
37.5438514,127.0781368
37.5438509,127.078135
37.5438502,127.0781329
37.5438497,127.0781313
37.543849,127.0781297
37.5438482,127.078128
37.5438474,127.078126
37.5438467,127.0781244
37.5438459,127.0781228
37.5438451,127.0781211
37.5438443,127.0781194
37.5438436,127.078118
37.5438427,127.0781165
37.5438416,127.0781149
37.5438407,127.0781136
37.5438397,127.0781121
37.5438387,127.0781107
37.5438365,127.0781081
37.5438353,127.078107
37.5438342,127.0781056
37.543833,127.0781044
37.5438318,127.0781033
37.5438305,127.0781024
37.5438292,127.0781013
37.5438279,127.0781004
37.5438252,127.0780981
37.5438238,127.0780971
37.5438225,127.078096
37.5438185,127.0780932
37.5438172,127.0780924
37.5438157,127.0780914
37.5438143,127.0780905
37.5438129,127.0780895
37.5438117,127.0780885
37.5438104,127.0780875
37.5438091,127.0780868
37.5438079,127.078086
37.5438066,127.0780851
37.5438052,127.0780844
37.5438038,127.0780837
37.5438025,127.078083
37.5438009,127.0780824
37.5437994,127.0780819
37.5437966,127.0780808
37.5437952,127.0780802
37.5437938,127.0780797
37.5437925,127.078079
37.5437911,127.0780783
37.5437897,127.0780778
37.5437884,127.0780774
37.5437869,127.078077
37.5437854,127.0780765
37.5437824,127.0780756
37.543781,127.078075
37.5437796,127.0780746
37.5437782,127.0780743
37.5437768,127.078074
37.5437754,127.0780737
37.5437739,127.0780734
37.5437724,127.078073
37.543771,127.0780726
37.5437695,127.0780724
37.543768,127.0780722
37.5437666,127.078072
37.5437652,127.0780717
37.5437636,127.0780715
37.5437621,127.0780714
37.5437607,127.0780711
37.5437591,127.0780707
37.5437576,127.0780704
37.5437563,127.0780701
37.5437549,127.0780698
37.5437533,127.0780696
37.5437518,127.0780693
37.5437503,127.0780691
37.5437488,127.0780689
37.5437472,127.0780685
37.5437457,127.0780682
37.5437423,127.0780679
37.5437392,127.0780673
37.5437376,127.0780669
37.543736,127.0780666
37.5437345,127.0780663
37.543733,127.0780661
37.5437314,127.0780659
37.5437298,127.0780658
37.5437283,127.0780656
37.5437268,127.0780653
37.5437251,127.0780651
37.5437237,127.0780649
37.5437224,127.0780646
37.5437208,127.0780643
37.5437192,127.078064
37.5437178,127.0780635
37.5437162,127.0780633
37.5437146,127.0780632
37.5437131,127.078063
37.5437117,127.0780627
37.5437086,127.0780623
37.5437055,127.0780618
37.5437024,127.0780613
37.5437011,127.0780612
37.5436997,127.078061
37.5436982,127.0780607
37.5436967,127.0780604
37.5436938,127.0780599
37.5436924,127.0780596
37.5436909,127.0780593
37.5436896,127.0780591
37.5436881,127.078059
37.5436864,127.0780591
37.5436849,127.078059
37.5436833,127.0780587
37.5436817,127.0780586
37.5436801,127.0780585
37.5436786,127.0780584
37.5436756,127.0780583
37.5436738,127.0780585
37.5436722,127.0780585
37.5436706,127.0780583
37.5436673,127.0780578
37.5436658,127.0780577
37.543664,127.0780574
37.5436623,127.0780573
37.5436607,127.0780571
37.5436593,127.0780567
37.5436562,127.0780567
37.5436548,127.0780567
37.5436533,127.0780566
37.5436516,127.0780566
37.5436501,127.0780567
37.5436486,127.0780566
37.543647,127.0780566
37.5436454,127.0780565
37.543644,127.0780564
37.5436426,127.0780562
37.5436411,127.0780563
37.5436396,127.0780564
37.543638,127.078056
37.5436365,127.0780557
37.543635,127.0780555
37.5436336,127.0780554
37.5436321,127.0780552
37.5436307,127.078055
37.5436292,127.0780547
37.5436277,127.0780545
37.5436262,127.0780542
37.5436247,127.0780538
37.5436233,127.0780535
37.5436206,127.078053
37.5436179,127.0780526
37.5436165,127.0780523
37.5436151,127.0780521
37.5436136,127.0780521
37.543612,127.0780519
37.5436106,127.0780518
37.5436092,127.0780519
37.5436075,127.0780518
37.543606,127.0780517
37.5436042,127.0780514
37.5436028,127.0780512
37.5436014,127.0780512
37.5436001,127.0780512
37.5435985,127.078051
37.5435969,127.0780507
37.5435954,127.0780507
37.543594,127.0780508
37.543591,127.0780498
37.5435895,127.0780499
37.543588,127.0780498
37.5435865,127.0780493
37.5435849,127.078049
37.5435833,127.0780489
37.5435818,127.0780487
37.5435803,127.0780484
37.5435792,127.0780483
37.5435778,127.0780479
37.5435761,127.0780477
37.5435715,127.0780467
37.5435701,127.0780464
37.5435672,127.0780456
37.5435635,127.0780448
37.5435621,127.0780445
37.543559,127.0780438
37.5435572,127.0780435
37.5435558,127.0780432
37.5435541,127.0780427
37.5435522,127.0780423
37.5435507,127.0780419
37.5435492,127.0780416
37.5435477,127.0780413
37.5435445,127.0780406
37.5435429,127.0780404
37.5435413,127.0780403
37.5435397,127.0780399
37.5435382,127.0780395
37.5435354,127.0780387
37.5435338,127.0780383
37.5435324,127.0780381
37.5435308,127.078038
37.5435293,127.0780378
37.5435277,127.0780374
37.5435263,127.0780371
37.5435248,127.0780367
37.5435233,127.0780366
37.5435218,127.0780363
37.5435203,127.0780359
37.5435187,127.0780357
37.543517,127.0780352
37.543514,127.0780343
37.5435125,127.0780339
37.5435111,127.0780335
37.5435095,127.078033
37.5435062,127.0780325
37.5435047,127.0780321
37.543503,127.0780319
37.5435016,127.078032
37.5435002,127.0780316
37.5434992,127.0780315
37.543498,127.0780315
37.5434967,127.0780315
37.5434957,127.0780315
37.5434945,127.0780311
37.5434934,127.078031
37.5434923,127.0780308
37.5434913,127.0780307
